MiniSQL version 1.0 (Mar 30 2018, 02:42:36) by Louis Bethune
minisql>         titre       |         nom        
-----------------------------------------
        Aries       |    Heidi Vinson    
        Aries       |    Mollie Poole    
        Aries       |      Amir Wall     
        Aries       |     Coby Dennis    
        Aries       |   Vivian Gregory   
        Aries       |    Destiny Love    
        Aries       |   Diana Peterson   
        Aries       |   Honorato Bowman  
        Aries       |   Austin Mueller   
        Aries       |    Kameko Short    
        Aries       |   Rebecca Carson   
        Aries       |   Kenneth Estrada  
        Aries       |     Garth Chen     
        Libra       |   Hyacinth Harris  
        Libra       |      Ray Tran      
        Libra       |   Aristotle Lloyd  
        Libra       |   Rebecca Carson   
        Ursa        |   Brandon Travis   
        Ursa        |    Rose Hancock    
        Ursa        |    Eliana Santos   
        Ursa        |    Destiny Love    
        Ursa        |   Diana Peterson   
        Ursa        |  Forrest Harrison  
        Ursa        | Alexander Sullivan 
        Ursa        |    Deborah Noel    
        Ursa        |    Giacomo Case    
       Gemini       |    Paki Stanley    
       Gemini       |     Coby Dennis    
       Gemini       |   Keelie Rosales   
       Gemini       |   Martin Cabrera   
       Gemini       |    Iris Mcbride    
        Lupus       |    Norman Murphy   
        Lupus       |  Maxwell Trujillo  
        Lupus       |    Tana Dillard    
        Lupus       |    Tana Dillard    
        Lupus       |     Tana Thomas    
        Lupus       |   Guinevere Byers  
        Lupus       |    Kenyon Molina   
        Lupus       |Fredericka Alexander
        Lupus       |   Rebecca Carson   
        Lupus       |    Iris Mcbride    
        Virgo       |     Diana Levy     
        Virgo       |   Gregory Hunter   
        Virgo       |     Olympia Gay    
        Virgo       |  Clarke Christian  
        Virgo       |   Brandon Travis   
        Virgo       |      Yen Perez     
        Virgo       |    Kerry Walton    
        Virgo       |    Kerry Walton    
        Virgo       |     Ivy Carroll    
        Virgo       |    Patrick Carey   
       Cancer       |     Evan Lynch     
       Cancer       |     Gemma Wells    
       Cancer       |   Zenaida Ashley   
       Cancer       |      Otto Gray     
       Cancer       |   Elmo Harrington  
       Cancer       |   Brandon Travis   
       Cancer       |    Kerry Walton    
       Cancer       |   Aristotle Lloyd  
       Pegasus      |    Kenyon Molina   
       Pegasus      |     Hoyt Alston    
       Pegasus      |      Yen Perez     
       Pegasus      |   Odysseus Joyce   
       Pegasus      |    Blaze Cooper    
       Pegasus      |  Forrest Harrison  
       Pegasus      |   Nichole Baldwin  
       Pegasus      |    Deborah Noel    
       Pegasus      |   Jillian Watson   
       Pegasus      |   Jillian Watson   
       Pegasus      |     Garth Chen     
     Capricornus    |   Tatyana Becker   
     Capricornus    |     Nell Hurst     
     Capricornus    |      Ray Tran      
     Capricornus    |    Iris Mcbride    
      Aquarius      |     Diana Levy     
      Aquarius      |    Devin Bolton    
      Aquarius      |      Yuli Pate     
      Aquarius      |   Tatyana Becker   
      Aquarius      |   Elmo Harrington  
      Aquarius      |     Nell Hurst     
      Aquarius      |   Guinevere Byers  
      Aquarius      |    Rose Hancock    
      Aquarius      |   Diana Peterson   
      Aquarius      | Alexander Sullivan 
      Aquarius      |   Nichole Baldwin  
      Aquarius      |      Hop White     
      Aquarius      |   McKenzie Jensen  
        Orion       |  Aidan Livingston  
        Orion       |     Gemma Wells    
        Orion       |      Otto Gray     
        Orion       |   Philip Whitney   
        Orion       |   Brandon Travis   
        Orion       |      Amir Wall     
        Orion       |    Destiny Love    
        Orion       |    Destiny Love    
        Orion       |    Peter Steele    
        Orion       |    Peter Steele    
        Orion       |    Patrick Carey   
        Orion       |   Arden Lancaster  
       Aquila       |    Yoshio Short    
       Aquila       |   Philip Whitney   
       Aquila       |    Eliana Santos   
       Aquila       |    Iris Mcbride    
      Andromeda     |   Philip Whitney   
      Andromeda     |      Yen Perez     
      Andromeda     |Fredericka Alexander
      Andromeda     |   Nichole Baldwin  
      Andromeda     |      Thor Bush     
       Pisces       |     Olympia Gay    
       Pisces       |    Hedwig Macias   
       Pisces       |    Heidi Vinson    
       Pisces       |      Yuli Pate     
       Pisces       |     Oliver Lowe    
       Pisces       |   Elmo Harrington  
       Pisces       |    Joelle Meyer    
       Pisces       |    Clark Hensley   
       Pisces       |    Deborah Noel    
       Sagitta      |     Carly Casey    
       Sagitta      |   Tatyana Becker   
       Sagitta      |      Amir Wall     
       Sagitta      |    Destiny Love    
       Sagitta      |   Austin Mueller   
       Perseus      |    Norman Murphy   
       Perseus      |     Evan Lynch     
       Perseus      |    Melinda Lott    
       Perseus      |    Tana Dillard    
       Perseus      |    Hedwig Macias   
       Perseus      |     Ray Atkins     
       Perseus      |    Rose Hancock    
       Perseus      |    Kenyon Molina   
       Perseus      |     Dante Pena     
       Perseus      |   Diana Peterson   
       Perseus      |  Forrest Harrison  
       Perseus      |   Marshall Nguyen  
       Perseus      |    Kameko Short    
       Perseus      |    Kameko Short    
       Perseus      |Fredericka Alexander
